Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product ID,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Year,Month,Week,Profit Margin
OID-100413,2024-01-07,2024-01-13,C-3108,Customer 756,Home Office,South,Technology,Phones,P-TP-58351,Phones 788,1,413.9,0.1,372.51,32.24,2024,1,2024-01-01,0.0865480121339024
OID-100426,2024-01-28,2024-01-29,C-5034,Customer 894,Corporate,Central,Office Supplies,Paper,P-OP-51327,Paper 740,7,527.11,0.05,3505.28,421.23,2024,1,2024-01-22,0.1201701433266386
OID-100428,2024-01-03,2024-01-05,C-7057,Customer 793,Consumer,Central,Furniture,Tables,P-FT-50951,Tables 107,1,388.35,0.0,388.35,115.32,2024,1,2024-01-01,0.2969486288142139
OID-100432,2024-01-08,2024-01-12,C-7152,Customer 229,Consumer,West,Office Supplies,Appliances,P-OA-54411,Appliances 733,3,121.73,0.0,365.19,23.44,2024,1,2024-01-08,0.0641857663134258
OID-100435,2024-01-14,2024-01-18,C-8637,Customer 271,Corporate,South,Technology,Accessories,P-TA-85781,Accessories 171,4,464.94,0.0,1859.77,581.11,2024,1,2024-01-08,0.3124633691262898
OID-100438,2024-01-05,2024-01-08,C-9438,Customer 904,Consumer,East,Furniture,Bookcases,P-FB-87143,Bookcases 194,4,739.18,0.2,2365.38,577.22,2024,1,2024-01-01,0.2440284436327355
OID-100445,2024-01-13,2024-01-19,C-8870,Customer 948,Consumer,West,Furniture,Furnishings,P-FF-74515,Furnishings 783,2,531.49,0.0,1062.99,88.0,2024,1,2024-01-08,0.0827853507558867
OID-100455,2024-01-30,2024-02-04,C-9701,Customer 880,Consumer,Central,Technology,Accessories,P-TA-95506,Accessories 773,2,527.84,0.0,1055.68,364.16,2024,1,2024-01-29,0.3449530160654744
OID-100479,2024-01-10,2024-01-11,C-9060,Customer 270,Home Office,South,Furniture,Tables,P-FT-79042,Tables 785,1,682.8,0.0,682.8,138.56,2024,1,2024-01-08,0.202929115407147
OID-100491,2024-01-02,2024-01-05,C-2130,Customer 473,Corporate,West,Office Supplies,Storage,P-OS-88110,Storage 759,3,475.73,0.0,1427.19,195.61,2024,1,2024-01-01,0.137059536571865
OID-100507,2024-01-16,2024-01-19,C-7891,Customer 767,Consumer,West,Furniture,Bookcases,P-FB-33573,Bookcases 244,2,125.65,0.05,238.73,75.73,2024,1,2024-01-15,0.3172202907049805
OID-100528,2024-01-16,2024-01-20,C-9748,Customer 397,Consumer,West,Furniture,Tables,P-FT-15791,Tables 305,5,777.55,0.05,3693.34,925.78,2024,1,2024-01-15,0.250662002415158
OID-100536,2024-01-30,2024-01-31,C-4770,Customer 561,Corporate,West,Furniture,Tables,P-FT-70181,Tables 540,5,342.81,0.0,1714.03,301.69,2024,1,2024-01-29,0.1760120884698634
OID-100537,2024-01-18,2024-01-20,C-3047,Customer 621,Consumer,South,Office Supplies,Appliances,P-OA-79275,Appliances 490,4,319.24,0.1,1149.28,325.88,2024,1,2024-01-15,0.28355144090213
OID-100545,2024-01-26,2024-01-31,C-3688,Customer 347,Home Office,East,Office Supplies,Paper,P-OP-23687,Paper 712,7,642.36,0.15,3822.01,935.37,2024,1,2024-01-22,0.2447324836931352
OID-100567,2024-01-17,2024-01-21,C-1129,Customer 239,Consumer,East,Furniture,Furnishings,P-FF-17176,Furnishings 379,4,516.44,0.05,1962.48,139.11,2024,1,2024-01-15,0.0708847988259753
OID-100597,2024-01-14,2024-01-16,C-7543,Customer 288,Corporate,East,Furniture,Tables,P-FT-69669,Tables 774,1,374.44,0.0,374.44,85.29,2024,1,2024-01-08,0.2277801516931951
OID-100624,2024-01-31,2024-02-06,C-6958,Customer 215,Consumer,West,Office Supplies,Binders,P-OB-30675,Binders 198,7,136.34,0.0,954.4,291.53,2024,1,2024-01-29,0.3054589270746018
OID-100633,2024-01-27,2024-01-29,C-5725,Customer 568,Consumer,East,Office Supplies,Storage,P-OS-36192,Storage 639,1,734.15,0.0,734.15,177.27,2024,1,2024-01-22,0.2414629162977593
OID-100648,2024-01-08,2024-01-14,C-6694,Customer 170,Consumer,West,Furniture,Furnishings,P-FF-35721,Furnishings 753,2,425.77,0.2,681.23,116.85,2024,1,2024-01-08,0.1715279714633824
OID-100676,2024-01-29,2024-01-31,C-4229,Customer 957,Corporate,Central,Furniture,Chairs,P-FC-14029,Chairs 242,6,278.17,0.0,1669.05,369.5,2024,1,2024-01-29,0.221383421706959
OID-100691,2024-01-18,2024-01-20,C-5919,Customer 120,Corporate,East,Office Supplies,Appliances,P-OA-28860,Appliances 149,4,727.35,0.1,2618.47,166.53,2024,1,2024-01-15,0.0635982081138985
OID-100695,2024-01-29,2024-02-02,C-5781,Customer 506,Consumer,South,Technology,Accessories,P-TA-82122,Accessories 807,7,518.03,0.0,3626.23,894.58,2024,1,2024-01-29,0.2466969828168649
OID-100700,2024-01-30,2024-01-31,C-3400,Customer 115,Corporate,West,Office Supplies,Binders,P-OB-22713,Binders 614,5,762.83,0.05,3623.43,710.76,2024,1,2024-01-29,0.1961566802725594
OID-100702,2024-01-17,2024-01-23,C-4841,Customer 465,Consumer,West,Office Supplies,Storage,P-OS-48321,Storage 653,7,660.01,0.05,4389.04,411.16,2024,1,2024-01-15,0.0936787999198002
OID-100709,2024-01-18,2024-01-23,C-3827,Customer 476,Corporate,Central,Furniture,Bookcases,P-FB-34096,Bookcases 959,5,517.38,0.0,2586.92,493.74,2024,1,2024-01-15,0.1908601734881635
OID-100711,2024-01-02,2024-01-07,C-4180,Customer 514,Consumer,West,Office Supplies,Paper,P-OP-83402,Paper 568,2,152.35,0.1,274.24,62.03,2024,1,2024-01-01,0.2261887397899649
OID-100712,2024-01-15,2024-01-18,C-2519,Customer 440,Corporate,West,Technology,Accessories,P-TA-79192,Accessories 456,4,345.4,0.15,1174.36,231.31,2024,1,2024-01-15,0.1969668585442283
OID-100719,2024-01-03,2024-01-05,C-3691,Customer 389,Home Office,West,Office Supplies,Binders,P-OB-59239,Binders 903,7,540.31,0.0,3782.18,436.64,2024,1,2024-01-01,0.1154466471717369
OID-100724,2024-01-13,2024-01-17,C-8045,Customer 484,Corporate,South,Furniture,Bookcases,P-FB-90689,Bookcases 189,3,718.88,0.2,1725.32,488.94,2024,1,2024-01-08,0.2833909071940277
OID-100742,2024-01-08,2024-01-12,C-1416,Customer 184,Consumer,West,Office Supplies,Binders,P-OB-44159,Binders 676,6,335.82,0.05,1914.17,516.76,2024,1,2024-01-08,0.2699655725458031
OID-100748,2024-01-15,2024-01-17,C-8840,Customer 729,Consumer,East,Office Supplies,Appliances,P-OA-13502,Appliances 181,6,165.53,0.0,993.17,296.7,2024,1,2024-01-15,0.2987403969109015
OID-100756,2024-01-16,2024-01-18,C-2214,Customer 762,Consumer,South,Technology,Copiers,P-TC-32581,Copiers 892,1,142.48,0.0,142.48,33.96,2024,1,2024-01-15,0.238349241998877
OID-100759,2024-01-16,2024-01-19,C-8549,Customer 961,Home Office,West,Office Supplies,Appliances,P-OA-55957,Appliances 499,5,128.52,0.05,610.46,29.21,2024,1,2024-01-15,0.0478491629263178
OID-100762,2024-01-15,2024-01-21,C-4639,Customer 233,Home Office,Central,Office Supplies,Paper,P-OP-85606,Paper 600,7,30.52,0.1,192.29,47.41,2024,1,2024-01-15,0.2465546830308388
OID-100775,2024-01-17,2024-01-20,C-6442,Customer 624,Consumer,South,Furniture,Furnishings,P-FF-67642,Furnishings 285,6,265.54,0.0,1593.22,202.18,2024,1,2024-01-15,0.1269002397660084
OID-100781,2024-01-09,2024-01-10,C-4015,Customer 673,Home Office,Central,Technology,Copiers,P-TC-85895,Copiers 485,7,214.73,0.05,1427.93,198.16,2024,1,2024-01-08,0.1387743096650396
OID-100802,2024-01-06,2024-01-12,C-6082,Customer 620,Consumer,Central,Furniture,Bookcases,P-FB-96767,Bookcases 288,4,773.69,0.0,3094.75,662.79,2024,1,2024-01-01,0.2141659261652799
OID-100803,2024-01-10,2024-01-13,C-9436,Customer 254,Corporate,Central,Office Supplies,Paper,P-OP-26795,Paper 376,7,519.77,0.1,3274.57,931.82,2024,1,2024-01-08,0.2845625532512665
OID-100804,2024-01-04,2024-01-06,C-3953,Customer 986,Consumer,South,Furniture,Tables,P-FT-81302,Tables 969,4,692.34,0.0,2769.35,495.58,2024,1,2024-01-01,0.1789517395778793
OID-100807,2024-01-10,2024-01-11,C-1172,Customer 256,Corporate,South,Office Supplies,Binders,P-OB-84790,Binders 595,2,193.08,0.1,347.54,62.82,2024,1,2024-01-08,0.18075617195143
OID-100812,2024-01-14,2024-01-19,C-9760,Customer 116,Consumer,Central,Furniture,Bookcases,P-FB-93904,Bookcases 830,2,601.56,0.0,1203.12,291.71,2024,1,2024-01-08,0.2424612673715007
OID-100840,2024-01-22,2024-01-25,C-5697,Customer 552,Home Office,East,Office Supplies,Paper,P-OP-96119,Paper 114,1,515.64,0.1,464.08,141.31,2024,1,2024-01-22,0.3044949146698845
OID-100841,2024-01-24,2024-01-28,C-7580,Customer 256,Corporate,East,Office Supplies,Paper,P-OP-94423,Paper 260,4,81.26,0.05,308.77,51.17,2024,1,2024-01-22,0.1657220584901383
OID-100845,2024-01-06,2024-01-07,C-5416,Customer 748,Home Office,South,Furniture,Tables,P-FT-23150,Tables 670,6,27.9,0.0,167.4,49.09,2024,1,2024-01-01,0.2932497013142174
OID-100856,2024-01-26,2024-01-27,C-8404,Customer 208,Consumer,South,Technology,Accessories,P-TA-94004,Accessories 197,1,706.82,0.0,706.82,63.48,2024,1,2024-01-22,0.0898107014515718
OID-100868,2024-01-24,2024-01-27,C-3187,Customer 808,Consumer,South,Office Supplies,Appliances,P-OA-96400,Appliances 229,3,132.67,0.05,378.1,84.82,2024,1,2024-01-22,0.2243321872520497
OID-100874,2024-01-17,2024-01-20,C-3048,Customer 214,Corporate,South,Office Supplies,Appliances,P-OA-77826,Appliances 798,5,38.59,0.0,192.95,13.42,2024,1,2024-01-15,0.0695516973309147
OID-100880,2024-01-03,2024-01-05,C-9547,Customer 457,Corporate,Central,Technology,Accessories,P-TA-42802,Accessories 306,7,32.88,0.0,230.15,34.36,2024,1,2024-01-01,0.1492939387356072
OID-100890,2024-01-06,2024-01-10,C-7227,Customer 712,Corporate,Central,Technology,Accessories,P-TA-41231,Accessories 252,1,668.46,0.05,635.04,32.2,2024,1,2024-01-01,0.050705467372134
OID-100906,2024-01-07,2024-01-12,C-8662,Customer 858,Consumer,Central,Furniture,Chairs,P-FC-92468,Chairs 834,4,747.06,0.15,2539.99,400.24,2024,1,2024-01-01,0.1575754235252895
OID-100908,2024-01-30,2024-02-05,C-8854,Customer 349,Consumer,West,Office Supplies,Paper,P-OP-95853,Paper 124,6,687.38,0.0,4124.25,1081.12,2024,1,2024-01-29,0.262137358307571
OID-100910,2024-01-26,2024-01-27,C-5803,Customer 508,Corporate,Central,Furniture,Tables,P-FT-15160,Tables 994,5,515.27,0.05,2447.53,614.29,2024,1,2024-01-22,0.2509836447357131
OID-100926,2024-01-18,2024-01-21,C-7325,Customer 265,Home Office,West,Office Supplies,Storage,P-OS-36859,Storage 452,3,645.71,0.0,1937.13,239.51,2024,1,2024-01-15,0.1236416760878206
OID-100930,2024-01-22,2024-01-26,C-1746,Customer 428,Corporate,Central,Office Supplies,Paper,P-OP-74946,Paper 268,7,525.05,0.05,3491.57,261.81,2024,1,2024-01-22,0.0749834601626202
OID-100933,2024-01-07,2024-01-08,C-7581,Customer 301,Home Office,Central,Office Supplies,Binders,P-OB-33323,Binders 720,3,55.95,0.0,167.86,7.8,2024,1,2024-01-01,0.0464672941737161
OID-100935,2024-01-02,2024-01-06,C-4472,Customer 141,Home Office,West,Technology,Phones,P-TP-52021,Phones 546,3,708.56,0.1,1913.11,616.44,2024,1,2024-01-01,0.3222187955736994
OID-100938,2024-01-05,2024-01-06,C-9473,Customer 320,Consumer,Central,Furniture,Tables,P-FT-69321,Tables 250,6,561.57,0.0,3369.43,327.96,2024,1,2024-01-01,0.0973339704341683
OID-100946,2024-01-28,2024-01-30,C-6567,Customer 823,Corporate,East,Office Supplies,Appliances,P-OA-91282,Appliances 374,2,240.19,0.0,480.38,59.49,2024,1,2024-01-22,0.1238394604271618
OID-100949,2024-01-06,2024-01-10,C-1846,Customer 984,Consumer,Central,Office Supplies,Storage,P-OS-89019,Storage 677,1,305.02,0.05,289.77,27.44,2024,1,2024-01-01,0.0946957932153087
OID-100952,2024-01-08,2024-01-10,C-5225,Customer 730,Consumer,West,Furniture,Chairs,P-FC-13298,Chairs 428,6,304.99,0.0,1829.97,483.62,2024,1,2024-01-08,0.2642775564626742
OID-100968,2024-01-01,2024-01-02,C-9622,Customer 847,Consumer,South,Technology,Machines,P-TM-38611,Machines 317,6,725.91,0.1,3919.91,1245.15,2024,1,2024-01-01,0.3176475990520191
OID-100972,2024-01-15,2024-01-19,C-1155,Customer 261,Corporate,Central,Furniture,Chairs,P-FC-60850,Chairs 133,3,213.91,0.0,641.72,31.79,2024,1,2024-01-15,0.0495387396372249
OID-100985,2024-01-07,2024-01-13,C-8455,Customer 337,Consumer,West,Technology,Accessories,P-TA-50380,Accessories 603,7,319.36,0.1,2011.94,426.55,2024,1,2024-01-01,0.212009304452419
OID-100995,2024-01-31,2024-02-02,C-4348,Customer 801,Consumer,West,Furniture,Chairs,P-FC-60443,Chairs 256,1,227.14,0.0,227.14,68.41,2024,1,2024-01-29,0.3011798890552082
OID-101003,2024-01-24,2024-01-29,C-5666,Customer 960,Home Office,East,Office Supplies,Binders,P-OB-46265,Binders 525,3,576.49,0.0,1729.48,263.76,2024,1,2024-01-22,0.1525082683812475
OID-101035,2024-01-19,2024-01-21,C-9959,Customer 606,Consumer,South,Furniture,Bookcases,P-FB-31234,Bookcases 545,5,778.79,0.0,3893.93,362.4,2024,1,2024-01-15,0.0930679288020072
OID-101058,2024-01-23,2024-01-26,C-4799,Customer 956,Consumer,West,Technology,Accessories,P-TA-24924,Accessories 969,1,420.77,0.0,420.77,71.44,2024,1,2024-01-22,0.1697839674881764
OID-101077,2024-01-04,2024-01-06,C-3000,Customer 413,Consumer,East,Furniture,Furnishings,P-FF-22434,Furnishings 722,2,328.95,0.05,625.0,135.54,2024,1,2024-01-01,0.2168639999999999
OID-101081,2024-01-20,2024-01-24,C-9303,Customer 280,Consumer,South,Technology,Accessories,P-TA-39624,Accessories 841,3,41.91,0.0,125.74,22.95,2024,1,2024-01-15,0.1825194846508668
OID-101091,2024-01-08,2024-01-13,C-6874,Customer 360,Home Office,East,Technology,Machines,P-TM-65282,Machines 760,2,52.07,0.15,88.52,2.1,2024,1,2024-01-08,0.0237234523271577
OID-101108,2024-01-12,2024-01-15,C-5518,Customer 188,Corporate,West,Office Supplies,Storage,P-OS-16885,Storage 224,6,620.96,0.1,3353.18,1080.28,2024,1,2024-01-08,0.3221658246798561
OID-101115,2024-01-30,2024-02-02,C-8583,Customer 881,Consumer,West,Technology,Copiers,P-TC-86666,Copiers 746,4,524.82,0.05,1994.31,131.76,2024,1,2024-01-29,0.066067963355747
OID-101122,2024-01-13,2024-01-17,C-1740,Customer 235,Corporate,East,Furniture,Bookcases,P-FB-79557,Bookcases 994,7,562.43,0.05,3740.14,192.98,2024,1,2024-01-08,0.0515969990428165
OID-101147,2024-01-20,2024-01-24,C-5539,Customer 226,Consumer,East,Office Supplies,Paper,P-OP-63202,Paper 494,1,564.56,0.05,536.33,85.67,2024,1,2024-01-15,0.1597337460145805
OID-101156,2024-01-05,2024-01-10,C-6221,Customer 194,Corporate,West,Technology,Machines,P-TM-15095,Machines 904,5,313.7,0.05,1490.07,457.0,2024,1,2024-01-01,0.3066970008120424
OID-101163,2024-01-21,2024-01-22,C-9868,Customer 721,Corporate,West,Furniture,Tables,P-FT-83458,Tables 563,5,692.92,0.0,3464.62,244.05,2024,1,2024-01-15,0.0704406255231454
OID-101167,2024-01-10,2024-01-12,C-4757,Customer 521,Consumer,West,Office Supplies,Storage,P-OS-65042,Storage 281,1,724.67,0.1,652.2,31.87,2024,1,2024-01-08,0.0488653787181846
OID-101187,2024-01-29,2024-02-02,C-7596,Customer 293,Consumer,South,Furniture,Chairs,P-FC-58405,Chairs 129,6,625.11,0.0,3750.64,317.23,2024,1,2024-01-29,0.0845802316404667
OID-101191,2024-01-18,2024-01-22,C-3321,Customer 731,Consumer,West,Furniture,Tables,P-FT-23005,Tables 771,5,410.28,0.15,1743.69,444.15,2024,1,2024-01-15,0.2547184419248834
OID-101198,2024-01-26,2024-01-29,C-4725,Customer 476,Consumer,West,Furniture,Chairs,P-FC-15365,Chairs 816,7,151.05,0.05,1004.48,273.36,2024,1,2024-01-22,0.2721408091748964
OID-101218,2024-01-13,2024-01-15,C-7558,Customer 104,Corporate,East,Office Supplies,Storage,P-OS-88691,Storage 334,2,127.0,0.0,253.99,11.93,2024,1,2024-01-08,0.0469703531635103
OID-101241,2024-01-03,2024-01-05,C-6593,Customer 186,Home Office,West,Office Supplies,Appliances,P-OA-85461,Appliances 977,3,104.15,0.0,312.44,12.56,2024,1,2024-01-01,0.0401997183459224
OID-101257,2024-01-04,2024-01-06,C-4782,Customer 452,Home Office,East,Technology,Accessories,P-TA-95003,Accessories 582,3,664.07,0.0,1992.21,417.25,2024,1,2024-01-01,0.2094407718061851
OID-101297,2024-01-04,2024-01-10,C-6530,Customer 744,Consumer,East,Furniture,Tables,P-FT-89050,Tables 902,5,492.74,0.05,2340.52,663.84,2024,1,2024-01-01,0.2836292789636491
OID-101328,2024-01-06,2024-01-07,C-2666,Customer 967,Corporate,South,Office Supplies,Appliances,P-OA-80934,Appliances 846,3,648.33,0.0,1944.98,648.05,2024,1,2024-01-01,0.3331910867978077
OID-101357,2024-01-02,2024-01-03,C-9549,Customer 102,Consumer,Central,Office Supplies,Appliances,P-OA-82730,Appliances 472,4,593.72,0.0,2374.87,623.35,2024,1,2024-01-01,0.2624775250855836
OID-101365,2024-01-29,2024-02-02,C-4847,Customer 639,Consumer,Central,Furniture,Furnishings,P-FF-20647,Furnishings 488,1,60.57,0.0,60.57,6.68,2024,1,2024-01-29,0.1102856199438666
OID-101382,2024-01-04,2024-01-10,C-6736,Customer 394,Consumer,Central,Furniture,Bookcases,P-FB-17998,Bookcases 368,1,510.3,0.05,484.78,109.54,2024,1,2024-01-01,0.225958166591031
OID-101390,2024-01-29,2024-02-02,C-4229,Customer 278,Home Office,South,Office Supplies,Binders,P-OB-60334,Binders 767,5,228.81,0.05,1086.82,292.66,2024,1,2024-01-29,0.2692810216963251
OID-101425,2024-01-21,2024-01-25,C-9652,Customer 766,Corporate,Central,Office Supplies,Paper,P-OP-28318,Paper 488,7,434.05,0.1,2734.54,769.08,2024,1,2024-01-15,0.2812465716354487
OID-101438,2024-01-14,2024-01-16,C-3431,Customer 969,Consumer,East,Office Supplies,Storage,P-OS-51457,Storage 938,2,318.42,0.1,573.15,30.73,2024,1,2024-01-08,0.0536159818546628
OID-101452,2024-01-23,2024-01-28,C-8810,Customer 701,Consumer,East,Office Supplies,Paper,P-OP-31649,Paper 543,7,469.43,0.0,3286.0,906.99,2024,1,2024-01-22,0.2760164333536214
OID-101457,2024-01-29,2024-01-30,C-7050,Customer 458,Corporate,Central,Furniture,Bookcases,P-FB-56886,Bookcases 673,7,107.06,0.0,749.4,218.27,2024,1,2024-01-29,0.2912596744061916
OID-101487,2024-01-12,2024-01-18,C-9015,Customer 465,Consumer,Central,Furniture,Tables,P-FT-28378,Tables 766,5,602.75,0.2,2411.0,266.43,2024,1,2024-01-08,0.1105060141020323
OID-101495,2024-01-07,2024-01-10,C-6671,Customer 190,Corporate,East,Office Supplies,Appliances,P-OA-98029,Appliances 977,5,101.91,0.15,433.13,141.67,2024,1,2024-01-01,0.3270842472236972
OID-101508,2024-01-16,2024-01-17,C-7965,Customer 106,Consumer,West,Technology,Copiers,P-TC-64185,Copiers 635,6,113.28,0.15,577.73,189.77,2024,1,2024-01-15,0.3284752392986343
OID-101530,2024-01-13,2024-01-19,C-2963,Customer 257,Corporate,West,Technology,Phones,P-TP-50901,Phones 977,4,665.68,0.0,2662.72,155.82,2024,1,2024-01-08,0.0585191082802547
OID-101547,2024-01-06,2024-01-09,C-2558,Customer 730,Consumer,West,Office Supplies,Appliances,P-OA-78375,Appliances 163,2,276.17,0.05,524.72,35.6,2024,1,2024-01-01,0.0678457081872236
OID-101548,2024-01-13,2024-01-15,C-6849,Customer 894,Consumer,South,Furniture,Chairs,P-FC-89936,Chairs 611,4,499.58,0.0,1998.31,589.29,2024,1,2024-01-08,0.2948941855868208
OID-101579,2024-01-15,2024-01-17,C-7523,Customer 998,Corporate,South,Furniture,Tables,P-FT-15678,Tables 554,6,694.0,0.0,4164.0,1215.16,2024,1,2024-01-15,0.2918251681075888
OID-101582,2024-01-08,2024-01-11,C-3867,Customer 217,Corporate,South,Office Supplies,Binders,P-OB-66029,Binders 287,3,531.73,0.0,1595.2,470.46,2024,1,2024-01-08,0.2949222668004012
OID-101605,2024-01-20,2024-01-21,C-8339,Customer 823,Home Office,Central,Furniture,Furnishings,P-FF-30428,Furnishings 180,5,638.29,0.0,3191.45,390.34,2024,1,2024-01-15,0.1223080417991821
OID-101609,2024-01-28,2024-01-29,C-1096,Customer 577,Home Office,South,Furniture,Bookcases,P-FB-18611,Bookcases 340,6,636.97,0.2,3057.44,1007.95,2024,1,2024-01-22,0.3296712282170705
OID-101629,2024-01-26,2024-01-31,C-7594,Customer 158,Corporate,South,Technology,Phones,P-TP-66970,Phones 354,4,700.2,0.0,2800.78,504.5,2024,1,2024-01-22,0.1801283928048614
OID-101634,2024-01-02,2024-01-08,C-7896,Customer 904,Consumer,Central,Furniture,Furnishings,P-FF-74596,Furnishings 787,4,471.07,0.1,1695.86,405.6,2024,1,2024-01-01,0.239170686259479
OID-101638,2024-01-05,2024-01-11,C-3295,Customer 466,Home Office,East,Office Supplies,Appliances,P-OA-90566,Appliances 826,1,64.59,0.05,61.36,4.83,2024,1,2024-01-01,0.078715775749674
